prolificId,taskId,visType,taskType,topology,hypothesis_1,hypothesis_2,measure,value
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,nodeAnswer,T.J.
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,accuracy,1
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,correct,1
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,difficulty,1
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,confidence,7
5d5977eca69ee60001437635,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,minutesToComplete,0.5333333333333333
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,nodeAnswer,SCI
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,nodeAnswer,AA
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,nodeAnswer,Marc
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,nodeAnswer,Alex
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,valueAnswer,15
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,accuracy,0
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,correct,0
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,difficulty,7
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,confidence,1
5d5977eca69ee60001437635,S-task12,adjMatrix,AGT,clusters,Cluster Hypothesis,,minutesToComplete,4.2
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,nodeAnswer,Alex
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,nodeAnswer,Mandy
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,accuracy,0
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,correct,0
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,difficulty,7
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,confidence,1
5d5977eca69ee60001437635,S-task13,adjMatrix,TGA,paths,Path Hypothesis,,minutesToComplete,1.7833333333333334
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,nodeAnswer,Micah
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,nodeAnswer,Rob
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,nodeAnswer,Robert
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,accuracy,0.5
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,correct,0
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,difficulty,4
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,confidence,4
5d5977eca69ee60001437635,S-task14,adjMatrix,TGA,paths,Path Hypothesis,,minutesToComplete,0.95
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,nodeAnswer,Chris
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,accuracy,0
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,correct,0
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,difficulty,5
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,confidence,5
5d5977eca69ee60001437635,S-task15,adjMatrix,TGA,subnetwork,Topology plus Simple Attribute Hypothesis,,minutesToComplete,1.3833333333333333
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,nodeAnswer,EVis2018
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,accuracy,1
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,correct,1
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,difficulty,5
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,confidence,5
5d5977eca69ee60001437635,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,minutesToComplete,0.7166666666666667
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,nodeAnswer,Ryan
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,accuracy,0
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,correct,0
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,difficulty,6
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,confidence,2
5d5977eca69ee60001437635,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,minutesToComplete,1.1666666666666667
5d5977eca69ee60001437635,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,AA
