prolificId,taskId,visType,responseType,value
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,nodeAnswer,T.J.
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,accuracy,1
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,correct,1
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,difficulty,1
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,confidence,7
55b66e89fdf99b26b999cbba,S-task1,adjMatrix,minutesToComplete,0.4
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Lane
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Thomas
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Anna
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Nicola
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,EVis2018
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Fritz
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,SCI
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Holger
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Nils
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Lynn
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,AA
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Micah
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,John
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Klaus
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Marc
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Jon
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,James
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Tamara
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,EVis19
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Jason
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Noeska
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Alex
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,nodeAnswer,Robert
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,valueAnswer,2100
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,accuracy,1
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,correct,1
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,difficulty,7
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,confidence,3
55b66e89fdf99b26b999cbba,S-task11,adjMatrix,minutesToComplete,8.366666666666667
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,nodeAnswer,Ben
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,nodeAnswer,Lonni
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,nodeAnswer,Shahid
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,accuracy,0
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,difficulty,7
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,confidence,4
55b66e89fdf99b26b999cbba,S-task12,adjMatrix,minutesToComplete,4.116666666666666
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,nodeAnswer,Alex
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,nodeAnswer,Tamara
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,accuracy,0
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,difficulty,7
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,confidence,1
55b66e89fdf99b26b999cbba,S-task12A,adjMatrix,minutesToComplete,4.183333333333334
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,nodeAnswer,Arvind
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,accuracy,0
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,difficulty,6
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,confidence,2
55b66e89fdf99b26b999cbba,S-task13,adjMatrix,minutesToComplete,3.316666666666667
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,nodeAnswer,Sereno
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,accuracy,0
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,difficulty,2
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,confidence,7
55b66e89fdf99b26b999cbba,S-task1A,adjMatrix,minutesToComplete,2.8333333333333335
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,nodeAnswer,EVis19
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,accuracy,0
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,difficulty,3
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,confidence,5
55b66e89fdf99b26b999cbba,S-task3,adjMatrix,minutesToComplete,1.3833333333333333
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,nodeAnswer,AA
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,nodeAnswer,Noeska
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,accuracy,0.5
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,correct,0
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,difficulty,2
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,confidence,6
55b66e89fdf99b26b999cbba,S-task4,adjMatrix,minutesToComplete,0.75
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Rob
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Alex
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Robert
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Lane
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Eytan
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Jeffrey
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,IDL
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Fritz
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Micah
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Nils
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,EEyes
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Viau
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Sophie
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Bum
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,D3js
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Lace
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Nam
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Alper
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Jessica
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,T.J.
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Tamara
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Ryan
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Arvind
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Matt
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Dominik
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Carlos
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Mara
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,David
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Evan
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,Steve
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,MViews
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,nodeAnswer,SCI
55b66e89fdf99b26b999cbba,S-task4A,adjMatrix,accuracy,0
