PROLIFIC_PID,SESSION_ID,STUDY_ID,completionCode,demographics.age,demographics.degree,demographics.sex,demographics.vis_experience,endTime,feedback.overall,feedback.training.explanation,feedback.training.helpful,minutesToComplete,screenSize.availHeight,screenSize.availWidth,screenSize.colorDepth,screenSize.height,screenSize.pixelDepth,screenSize.width,startTime,id
55b66e89fdf99b26b999cbba,5d5c1213eda20d0018fe9366,5d5b9b26541db0001730eafb,7Tw0tt,25-39,High School,Male,2,Tue Aug 20 2019 17:24:53 GMT+0100 (Hora de verão da Europa Ocidental),Got stuck at first but figured it out after and it became easier by each task.,,3,53.15,860,1440,24,900,24,1440,Tue Aug 20 2019 16:31:44 GMT+0100 (Hora de verão da Europa Ocidental),55b66e89fdf99b26b999cbba
5a3adffa05f005000104d2aa,5d5c122a4df63500190a1507,5d5b9a527cf41b0015a069dd,dgYsxH,18-25,Masters,Male,5,Tue Aug 20 2019 17:52:46 GMT+0200 (Středoevropský letní čas),I think the visualization was quite helpful in orienting through data. But if I had to work with them I would prefer some other methods.,,7,21,1010,1680,24,1050,24,1680,Tue Aug 20 2019 17:31:46 GMT+0200 (Středoevropský letní čas),5a3adffa05f005000104d2aa
5aeb6f2eb59b0d00012e879f,5d5c12263540c900182f9d7e,5d5b9a527cf41b0015a069dd,ReELDg,18-25,Bachelors,Male,3,Tue Aug 20 2019 17:11:04 GMT+0100 (British Summer Time),Overall i think the study was very good it fully explained any important or must know things. The questions themselves varied in difficulty which allowed for a variety of time assessing each scenario.,The video provided some crucial insight on how the visualisations work and how to navigate them.,6,39.78333333333333,1040,1920,24,1080,24,1920,Tue Aug 20 2019 16:31:17 GMT+0100 (British Summer Time),5aeb6f2eb59b0d00012e879f
5afed988c6cbf1000105cf3a,5d5c13806ce45c001854aff4,5d5b9a527cf41b0015a069dd,iMTMsG,25-39,Masters,Male,3,Tue Aug 20 2019 19:30:02 GMT+0300 (Eastern European Summer Time),It was an interesting research about social media networks that i didnt know about. Some of the networks were hard to figure out the answer ,,6,52.75,1040,1920,24,1080,24,1920,Tue Aug 20 2019 18:37:17 GMT+0300 (Eastern European Summer Time),5afed988c6cbf1000105cf3a
5b82d4fda284bc000193094c,5d5c12294c079a001afe3c27,5d5b9a527cf41b0015a069dd,Qa9faB,25-39,Masters,Male,1,Tue Aug 20 2019 20:01:57 GMT+0100 (British Summer Time),Good study.,,6,29.583333333333332,1010,1680,24,1050,24,1680,Tue Aug 20 2019 19:32:22 GMT+0100 (British Summer Time),5b82d4fda284bc000193094c
5b982cde7a968e000151eccc,5d5bb0537cf41b0001a07c0c,5d5b9b26541db0001730eafb,Jju6rK,18-25,Bachelors,Male,1,Tue Aug 20 2019 10:09:54 GMT+0100 (British Summer Time),All together a very interesting and good system I would most definitely love to have a solid understanding,Relatively helpful but there is a lot of information to remember and very little time to remember it,5,37.2,1040,1920,24,1080,24,1920,Tue Aug 20 2019 09:32:42 GMT+0100 (British Summer Time),5b982cde7a968e000151eccc
5bc7073dba9cd20001d87eaf,5d5c1214984a94001c29bff3,5d5b9b26541db0001730eafb,EsEyxo,18-25,High School,Male,3,Tue Aug 20 2019 18:27:40 GMT+0200 (czas środkowoeuropejski letni),,I wasn't sure about how clusters work and how to detect them.,5,55.083333333333336,1400,2560,24,1440,24,2560,Tue Aug 20 2019 17:32:35 GMT+0200 (czas środkowoeuropejski letni),5bc7073dba9cd20001d87eaf
5bf1c26c3941490001fd5fdc,5d5c1329c43479000165ad93,5d5b9b26541db0001730eafb,rAqnVd,25-39,Bachelors,Male,1,Tue Aug 20 2019 17:30:04 GMT+0100 (British Summer Time),This is a challenging study ,,3,54.1,1040,1920,24,1080,24,1920,Tue Aug 20 2019 16:35:58 GMT+0100 (British Summer Time),5bf1c26c3941490001fd5fdc
5c28cac3867f660001ae9c4a,5d5c16e4077978001960c7f7,5d5b9a527cf41b0015a069dd,p1Jgo0,25-39,Bachelors,Male,2,Tue Aug 20 2019 17:51:38 GMT+0100 (British Summer Time),Some of the tasks were quite challenging and it was difficult to follow some of the lines and the directions they were going in. I did have technical trouble at the start of the study as the laptop i was initially using was 13.5 inches but when i switched to my laptop with a 15.6 inch screen i was told it was too small as it wasn't over 15 inches even though it was i then had to switch to using my laptop connected up to a larger monitor.,,5,43.016666666666666,1040,1920,24,1080,24,1920,Tue Aug 20 2019 17:08:37 GMT+0100 (British Summer Time),5c28cac3867f660001ae9c4a
5c2ca1fd9461620001c07208,5d5c12289d586a001c53f8cd,5d5b9a527cf41b0015a069dd,lJI2qb,25-39,Bachelors,Male,5,Tue Aug 20 2019 18:04:47 GMT+0200 (Central European Summer Time),it was a cool study some of the tasks were too hard to solve since you cant filter the nodes for certain attributes,,7,33.25,1040,1920,24,1080,24,1920,Tue Aug 20 2019 17:31:32 GMT+0200 (Central European Summer Time),5c2ca1fd9461620001c07208
