prolificId,taskId,visType,taskType,topology,hypothesis_1,hypothesis_2,measure,value
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,nodeAnswer,T.J.
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,accuracy,1
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,correct,1
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,difficulty,1
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,confidence,1
5d631b7627a84f00150fb1db,S-task01,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,minutesToComplete,0.6666666666666666
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,nodeAnswer,EVis2018
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,accuracy,1
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,correct,1
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,difficulty,1
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,confidence,1
5d631b7627a84f00150fb1db,S-task02,adjMatrix,TGA,single node,Distractor Effect Hypothesis, Attribute Sorting Hypothesis,minutesToComplete,0.7333333333333333
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,nodeAnswer,Jeffrey
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,accuracy,1
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,correct,1
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,difficulty,2
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,confidence,5
5d631b7627a84f00150fb1db,S-task03,adjMatrix,TGA,single node,Scalable Attributes Hypothesis,,minutesToComplete,4.933333333333334
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,AA
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,Noeska
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,Till
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,Jo
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,accuracy,1
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,correct,1
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,difficulty,1
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,confidence,1
5d631b7627a84f00150fb1db,S-task04,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,minutesToComplete,0.45
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,nodeAnswer,Robert
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,accuracy,1
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,correct,1
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,difficulty,1
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,confidence,1
5d631b7627a84f00150fb1db,S-task05,adjMatrix,TGA,neighbors,Distractor Effects Hypothesis,,minutesToComplete,0.5166666666666667
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,nodeAnswer,Robert
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,accuracy,1
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,correct,1
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,difficulty,2
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,confidence,4
5d631b7627a84f00150fb1db,S-task06,adjMatrix,TGA,neighbors,Edge Attribute Hypothesis,,minutesToComplete,1.8833333333333333
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,nodeAnswer,Marc
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,valueAnswer,European
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,accuracy,0.5
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,correct,0
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,difficulty,5
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,confidence,4
5d631b7627a84f00150fb1db,S-task07,adjMatrix,AGT,neighbors,Topology plus Simple Attributes Hypothesis,,minutesToComplete,2.0833333333333335
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,nodeAnswer,Chris
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,accuracy,1
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,correct,1
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,difficulty,7
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,confidence,7
5d631b7627a84f00150fb1db,S-task08,adjMatrix,TGA,neighbors,Topology plus Simple Attributes Hypothesis, Common Neighbor Hypothesis,minutesToComplete,4.116666666666666
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,nodeAnswer,
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,valueAnswer,4
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,valueAnswer,Retweets
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,accuracy,0.5
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,correct,0
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,difficulty,3
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,confidence,5
5d631b7627a84f00150fb1db,S-task09,adjMatrix,AGT,neighbors,Edge Attribute Hypothesis,,minutesToComplete,5.166666666666667
