taskNumber,measure,vis,M,d
T01,accuracy,nodeLink,"M=0.93~[0.88,0.96]",
T02,accuracy,nodeLink,"M=0.59~[0.52,0.66]",
T03,accuracy,nodeLink,"M=0.61~[0.53,0.68]",
T04,accuracy,nodeLink,"M=0.98~[0.95,0.99]",
T05,accuracy,nodeLink,"M=0.95~[0.89,0.97]",
T06,accuracy,nodeLink,"M=0.91~[0.84,0.95]",
T07,accuracy,nodeLink,"M=0.84~[0.79,0.88]",
T08,accuracy,nodeLink,"M=0.6~[0.53,0.66]",
T09,accuracy,nodeLink,"M=0.85~[0.79,0.89]",
T10,accuracy,nodeLink,"M=0.91~[0.87,0.94]",
T11,accuracy,nodeLink,"M=0.92~[0.86,0.95]",
T12,accuracy,nodeLink,"M=0.02~[0.01,0.03]",
T13,accuracy,nodeLink,"M=0.89~[0.83,0.93]",
T14,accuracy,nodeLink,"M=0.86~[0.79,0.9]",
T15,accuracy,nodeLink,"M=0.72~[0.64,0.77]",
T16,accuracy,nodeLink,M=1,
T01,time,nodeLink,"M=0.77~[0.71,0.83]",
T02,time,nodeLink,"M=2.23~[2.05,2.46]",
T03,time,nodeLink,"M=2.08~[1.88,2.34]",
T04,time,nodeLink,"M=0.43~[0.39,0.47]",
T05,time,nodeLink,"M=0.62~[0.57,0.71]",
T06,time,nodeLink,"M=0.73~[0.66,0.86]",
T07,time,nodeLink,"M=1.66~[1.52,2.12]",
T08,time,nodeLink,"M=1.8~[1.66,1.97]",
T09,time,nodeLink,"M=0.9~[0.82,0.98]",
T10,time,nodeLink,"M=0.94~[0.84,1.23]",
T11,time,nodeLink,"M=0.71~[0.65,0.83]",
T12,time,nodeLink,"M=3.46~[2.99,4.62]",
T13,time,nodeLink,"M=1.04~[0.97,1.11]",
T14,time,nodeLink,"M=0.93~[0.86,1.03]",
T15,time,nodeLink,"M=1.21~[1.09,1.4]",
T16,time,nodeLink,"M=3.18~[2.86,3.68]",
T01,accuracy,adjMatrix,"M=0.95~[0.89,0.97]",
T02,accuracy,adjMatrix,"M=0.92~[0.88,0.95]",
T03,accuracy,adjMatrix,"M=0.46~[0.38,0.54]",
T04,accuracy,adjMatrix,"M=0.93~[0.88,0.96]",
T05,accuracy,adjMatrix,"M=0.82~[0.75,0.88]",
T06,accuracy,adjMatrix,"M=0.95~[0.89,0.97]",
T07,accuracy,adjMatrix,"M=0.9~[0.85,0.94]",
T08,accuracy,adjMatrix,"M=0.69~[0.61,0.75]",
T09,accuracy,adjMatrix,"M=0.92~[0.86,0.95]",
T10,accuracy,adjMatrix,"M=0.83~[0.76,0.87]",
T11,accuracy,adjMatrix,"M=0.86~[0.8,0.9]",
T12,accuracy,adjMatrix,"M=0.13~[0.1,0.16]",
T13,accuracy,adjMatrix,"M=0.54~[0.46,0.62]",
T14,accuracy,adjMatrix,"M=0.7~[0.62,0.77]",
T15,accuracy,adjMatrix,"M=0.37~[0.29,0.44]",
T16,accuracy,adjMatrix,M=1,
T01,time,adjMatrix,"M=0.55~[0.5,0.61]",
T02,time,adjMatrix,"M=0.85~[0.79,0.93]",
T03,time,adjMatrix,"M=2.46~[2.17,2.81]",
T04,time,adjMatrix,"M=0.84~[0.76,0.94]",
T05,time,adjMatrix,"M=1.06~[0.96,1.19]",
T06,time,adjMatrix,"M=0.87~[0.8,0.96]",
T07,time,adjMatrix,"M=2~[1.81,2.34]",
T08,time,adjMatrix,"M=2.35~[2.12,2.67]",
T09,time,adjMatrix,"M=1~[0.92,1.13]",
T10,time,adjMatrix,"M=1.79~[1.67,1.95]",
T11,time,adjMatrix,"M=1.25~[1.14,1.41]",
T12,time,adjMatrix,"M=3.43~[3.03,3.95]",
T13,time,adjMatrix,"M=1.94~[1.76,2.18]",
T14,time,adjMatrix,"M=1.53~[1.39,1.71]",
T15,time,adjMatrix,"M=2.79~[2.5,3.28]",
T16,time,adjMatrix,"M=3.22~[2.87,3.7]",
