workerID,S-task16.visType,S-task16.answer.value,S-task16.feedback.confidence,S-task16.feedback.difficulty,S-task16.feedback.explanation,S-task16.minutesToComplete,averageAccuracy,overallMinutesToComplete,demographics.age,demographics.degree,demographics.sex,demographics.vis_experience,overallFeedback.overall,overallFeedback.training.explanation,overallFeedback.training.helpful
5d631b7627a84f00150fb1db,adjMatrix,"there is no ""likes""",7,1,,2.55,0.75,64.51666667,18,High School,Male,3,a bit strange place to work with for me to be honest,,4
5d61b5731a749d00011fcef2,adjMatrix,It doesn't seem like there's a large amount of users of twitter from Asia on this chart. I also thought it was interesting that a person could have more followers than tweets. How's that possible? What are they doing to attract people?,6,1,,1.816666667,0.711458333,38.35,40,Bachelors,Male,3,I really enjoyed using this graph. Although I'm not expert I appreciated the information.,This is an extraordinary tool. It can help a person track where they're getting the most attention and focus their efforts there. It's especially useful if you're promoting an image product or business.,7
5d616bd447787f000175cdqe,adjMatrix,If there is anything surprising or particularly interesting i don't seem to be able to find it.,3,6,,7.416666667,0.96875,92.9,35,Bachelors,Male,2,It was a bit of a jump between the complexity of the training and the actual tasks but after you figure it out it gets easier. At least i think it did hopefully i didn't get too many wrong ones.,,6
5d6074817bb40600189ce747,adjMatrix,Teo has one of the most followers but very few interatctions.,7,1,,2.516666667,0.59375,23.16666667,29,Other,Male,3,,,4
5d5c89db993ad300014b3954,adjMatrix,Nothing noteworthy which I can tell. I do see that asia has less accounts than institutions in this data presented. There are outliers as well with some accounts having many follows yet little tweets and many tweets with little followers. Unsure about clusters and such.,2,7,,2.05,0.911458333,29.08333333,22,Bachelors,Male,3,,It was difficult to remember what I was just told in the video. Maybe trying one by yourself with hints would be better after the video was done. ,5
5d5c49acdd90af0001f13f7d,adjMatrix,There are only two person from South America.,1,7,,3.966666667,0.71875,90.38333333,37,Bachelors,Male,3,,,4
5d5ae6e4d5610d0001d9c24d,adjMatrix,Jeffrey has very few tweets but the most followers and interactions with a lot of accounts. ,6,2,,1.683333333,0.84375,36.71666667,0,High School,Female,1,,I would have liked more practice tasks covering each of the type of things used.,5
5d594f70cf514a00167872d0,adjMatrix,Jeffery and Robert do a lot of interacting with everyone including between themself. Majority of accounts reside from either Europe or North America. There are a lot of accounts whom rarely ever interact with anything. Steven Evan Jo and Till have only ever had 1 interaction and they have all been with Lane.,1,5,,3.65,0.916666667,29.71666667,22,High School,Male,5,Clean and easy to opperate survey help button was useful for trying to remember certain search functions however more info on their to back up everything said in the video would have been helpful as by the end it was easy to forget how to do certain tasks. ,There was a few things that I personally feel did not go into enough depth and therefore left me stumped while taking the survery. ,5
5d58976b10ce3800155c7037,adjMatrix,Most of the 'subjects' are people from either North America or Europe and overall they most 'subjects' have a large following. I found this network to be fairly interesting and how it works to be easy to learn overall.,7,5,,2.533333333,0.6875,31.35,18,High School,Male,1,As I said in the last task I found this experience to be pleasant and easy to grasp having no prior knowledge or experience. ,The training video was easy to grasp but I find that step by step examples make it the easiest to learn by. ,5
5d58559698cf220001ec55f8,adjMatrix,MViews has the 2nd youngest account age however it has the 4th largest follower count even though it also has the least number of tweets,6,3,,2.283333333,0.864583333,29.83333333,21,High School,Male,3,I could see how this technology and its improvement allows for the data not just to be understood easier but it makes it easier to spot anomalies ,everything seemed to click perfectly except for 'finding the shortest path between nodes' in all honesty it confused me a bit but i think i got a better understanding once i was in the practice,6
